#,Player Name, Player Salary in $ ,
251,Ronnie Price,"$3,251,227 ",
252,Emmanuel Mudiay,"$3,241,800 ",
253,CJ McCollum,"$3,219,579 ",
254,Jamal Murray,"$3,210,840 ",
255,Patrick Mills,"$3,200,000 ",
256,Michael Carter-Williams,"$3,183,526 ",
257,Omri Casspi,"$3,149,524 ",
258,Steven Adams,"$3,140,517 ",
259,Kelly Olynyk,"$3,094,013 ",
260,Shabazz Muhammad,"$3,046,299 ",
261,Dante Cunningham,"$3,000,000 ",
261,Justin Hamilton,"$3,000,000 ",
263,Giannis Antetokounmpo,"$2,995,420 ",
264,Nik Stauskas,"$2,993,040 ",
265,Stanley Johnson,"$2,969,880 ",
266,Quincy Acy,"$2,965,505 ",
267,Marquese Chriss,"$2,941,440 ",
268,Dewayne Dedmon,"$2,898,000 ",
268,Mindaugas Kuzminskas,"$2,898,000 ",
268,Dion Waiters,"$2,898,000 ",
268,James Ennis,"$2,898,000 ",
268,Nenê,"$2,898,000 ",
268,Zaza Pachulia,"$2,898,000 ",
268,Seth Curry,"$2,898,000 ",
275,Tomas Satoransky,"$2,870,813 ",
276,Tibor Pleiss,"$2,800,000 ",
277,Noah Vonleh,"$2,751,360 ",
278,Frank Kaminsky,"$2,730,000 ",
279,Dennis Schroeder,"$2,708,582 ",
280,Jakob Poeltl,"$2,703,960 ",
281,Aaron Brooks,"$2,700,000 ",
282,Elfrid Payton,"$2,613,600 ",
283,Justise Winslow,"$2,593,440 ",
284,Thon Maker,"$2,568,600 ",
285,Martell Webster,"$2,500,000 ",
285,Richard Jefferson,"$2,500,000 ",
285,Randy Foye,"$2,500,000 ",
285,Malcolm Delaney,"$2,500,000 ",
289,Doug McDermott,"$2,483,040 ",
290,Domantas Sabonis,"$2,440,200 ",
291,Shelvin Mack,"$2,433,334 ",
292,Myles Turner,"$2,380,440 ",
293,Tony Snell,"$2,368,327 ",
294,Archie Goodwin,"$2,350,999 ",
295,Gorgui Dieng,"$2,348,782 ",
296,Trey Lyles,"$2,340,600 ",
297,Mason Plumlee,"$2,328,530 ",
298,Dario Saric,"$2,318,280 ",
298,Taurean Prince,"$2,318,280 ",
300,Tim Hardaway Jr,"$2,281,605 ",
301,Reggie Bullock,"$2,255,644 ",
302,Alonzo Gee,"$2,255,408 ",
303,Zach LaVine,"$2,240,880 ",
304,Devin Booker,"$2,223,600 ",
305,Luc Mbah a Moute,"$2,203,000 ",
306,Georgios Papagiannis,"$2,202,240 ",
307,Maurice Williams,"$2,194,500 ",
308,Andre Roberson,"$2,183,072 ",
309,TJ Warren,"$2,128,920 ",
310,Rudy Gobert,"$2,121,287 ",
311,Cameron Payne,"$2,112,480 ",
312,Joe Ingles,"$2,100,000 ",
313,Denzel Valentine,"$2,092,200 ",
314,Tim Frazier,"$2,090,000 ",
315,Adreian Payne,"$2,022,240 ",
316,Kelly Oubre,"$2,006,640 ",
317,Juan Hernangomez,"$1,987,440 ",
318,Lucas Nogueira,"$1,921,320 ",
318,Jusuf Nurkic,"$1,921,320 ",
320,Terry Rozier,"$1,906,440 ",
321,James Young,"$1,825,200 ",
322,Rashad Vaughn,"$1,811,040 ",
323,Kevin Seraphin,"$1,800,000 ",
324,Wade Baldwin,"$1,793,760 ",
325,Tyler Ennis,"$1,733,880 ",
326,Sam Dekker,"$1,720,560 ",
327,Joffrey Lauvergne,"$1,709,719 ",
328,Henry Ellenson,"$1,704,120 ",
329,Gary Harris,"$1,655,880 ",
330,Jerian Grant,"$1,643,040 ",
331,Malik Beasley,"$1,627,320 ",
332,RJ Hunter,"$1,625,240 ",
333,Bruno Caboclo,"$1,589,640 ",
334,Delon Wright,"$1,577,280 ",
335,Jarrett Jack,"$1,571,705 ",
336,Caris LeVert,"$1,562,280 ",
337,David Lee,"$1,551,659 ",
337,Caron Butler,"$1,551,659 ",
337,Steve Novak,"$1,551,659 ",
337,Jason Terry,"$1,551,659 ",
337,Metta World Peace,"$1,551,659 ",
337,Brandon Bass,"$1,551,659 ",
337,Raymond Felton,"$1,551,659 ",
337,David West,"$1,551,659 ",
337,James Jones,"$1,551,659 ",
337,Chris Andersen,"$1,551,659 ",
347,Mitch McGary,"$1,526,040 ",
348,Justin Anderson,"$1,514,160 ",
349,Marcelo Huertas,"$1,500,000 ",
350,DeAndre Bembry,"$1,499,760 ",
351,Jordan Adams,"$1,465,080 ",
352,Demetrius Jackson,"$1,450,000 ",
353,Malachi Richardson,"$1,439,880 ",
354,Sasha Vujacic,"$1,410,598 ",
354,Gerald Green,"$1,410,598 ",
356,Rodney Hood,"$1,406,520 ",
357,Bobby Portis,"$1,404,600 ",
358,Michael Beasley,"$1,403,611 ",
358,Marreese Speights,"$1,403,611 ",
358,JaVale McGee,"$1,403,611 ",
361,Rondae Hollis-Jefferson,"$1,395,600 ",
362,Willy Hernangomez,"$1,375,000 ",
363,Deyonta Davis,"$1,369,229 ",
364,Nikola Jokic,"$1,358,500 ",
365,Shabazz Napier,"$1,350,120 ",
366,Tyus Jones,"$1,339,680 ",
